paper_id,title,abstract,source_type,created_at
PMC5473734,Evaluating the Clinical Validity of Gene-Disease Associations: An Evidence-Based Framework Developed by the Clinical Genome Resource,"With advances in genomic sequencing technology, the number of reported gene-disease relationships has rapidly expanded. However, the evidence supporting these claims varies widely, confounding accurate evaluation of genomic variation in a clinical setting. Despite the critical need to differentiate clinically valid relationships from less well-substantiated relationships, standard guidelines for such evaluation do not currently exist. The NIH-funded Clinical Genome Resource (ClinGen) has developed a framework to define and evaluate the clinical validity of gene-disease pairs across a variety of Mendelian disorders. In this manuscript we describe a proposed framework to evaluate relevant genetic and experimental evidence supporting or contradicting a gene-disease relationship and the subsequent validation of this framework using a set of representative gene-disease pairs. The framework provides a semiquantitative measurement for the strength of evidence of a gene-disease relationship that correlates to a qualitative classification: “Definitive,” “Strong,” “Moderate,” “Limited,” “No Reported Evidence,” or “Conflicting Evidence.” Within the ClinGen structure, classifications derived with this framework are reviewed and confirmed or adjusted based on clinical expertise of appropriate disease experts. Detailed guidance for utilizing this framework and access to the curation interface is available on our website. This evidence-based, systematic method to assess the strength of gene-disease relationships will facilitate more knowledgeable utilization of genomic variants in clinical and research settings.",pubmed,2025-05-17 11:42:52.653
PMC6173793,Dimensions of immunologic memory,,pubmed,2025-05-17 11:56:20.313
PMC7649569,Pathway information extracted from 25 years of pathway figures,"Thousands of pathway diagrams are published each year as static figures inaccessible to computational queries and analyses. Using a combination of machine learning, optical character recognition, and manual curation, we identified 64,643 pathway figures published between 1995 and 2019 and extracted 1,112,551 instances of human genes, comprising 13,464 unique NCBI genes, participating in a wide variety of biological processes. This collection represents an order of magnitude more genes than found in the text of the same papers, and thousands of genes missing from other pathway databases, thus presenting new opportunities for discovery and research. Supplementary Information The online version contains supplementary material available at (doi:10.1186/s13059-020-02181-2).",pubmed,2025-05-17 11:58:14.253
PMC3217025,Interplay between BRCA1 and RHAMM Regulates Epithelial Apicobasal Polarization and May Influence Risk of Breast Cancer,"Genetic analysis identifies the HMMR gene as a modifier of the breast cancer risk associated with BRCA1 gene mutation, while cell biological analysis of the protein product suggests a function in regulating development of the mammary gland.",pubmed,2025-05-17 22:17:38.281
PMC2760065 ,DIFFERENCES IN IMMUNE RESPONSE MAY EXPLAIN LOWER SURVIVAL AMONG OLDER MEN WITH PNEUMONIA,"Objective Lower life expectancy in men is generally attributed to higher likelihood of risky behavior and because men develop chronic conditions earlier. If sex-related differences in survival are independent of pre-infection chronic health and health behavior, it would suggest that survival differences may occur due to sex differences in quality of care and biologic response to infection and these differences may contribute to sex differences in life expectancy. We assessed if sex-related survival difference following community-acquired pneumonia (CAP) is due to differences in clinical characteristics, quality of care, or immune response. Design, setting, and subjects Prospective observational cohort of 2183 subjects with CAP. Measurements and main results Mean age was 64.9 years. Compared to women, men were more likely to smoke and had more comorbidity. At emergency department presentation, men had different biomarker patterns, as evidenced by higher inflammation (tumor necrosis factor (TNF), interleukin (IL)-6, and IL-10) and fibrinolysis (D-dimer), and lower coagulation biomarkers (antithrombin-III and Factor IX) (P<0.05). Small differences in favor of men were seen in care quality, including antibiotic timing and compliance with American Thoracic Society guidelines. Men had lower survival at 30, 90, 365 days. The higher one-year mortality was not attenuated when adjusted for differences in demographics, smoking, resuscitation, insurance, and vaccination status, comorbidity, hospital characteristics, and illness severity (unadjusted hazard ratio (HR)=1.35, p=0.003 and adjusted HR=1.29, p=0.004). HR were no longer statistically significant when additionally adjusted for differences in ED concentrations of TNF, IL-6, IL-10, D-dimer, antithrombin-III, and Factor IX (adjusted HR=1.27, p=0.17). Patterns of biomarkers observed in men were associated with worse survival over one year. Conclusions Lower survival among men following CAP was not explained by differences in chronic diseases, health behaviors, and quality of care. Patterns of inflammatory, coagulation, and fibrinolysis biomarkers among men may explain reduced short and long-term survival.",pubmed,2025-05-18 15:46:04.455
PMC3945101 ,How Accurately Can a Single Receptor Measure Ligand Concentrations?,,pubmed,2025-05-18 15:46:06.689
PMC6899826 ,"Patient safety culture among European cancer nurses—An exploratory, cross‐sectional survey comparing data from Estonia, Germany, Netherlands, and United Kingdom","Abstract Aim To explore the differences in perceived patient safety culture in cancer nurses working in Estonia, Germany, the Netherlands, and the United Kingdom. Design An exploratory cross‐sectional survey. Methods In 2018, 393 cancer nurses completed the 12 dimensions of the Hospital Survey on Patient Safety Culture. Results The mean score for the overall patient safety grade was 61.3. The highest rated dimension was “teamwork within units” while “staffing” was the lowest in all four countries. Nurses in the Netherlands and in the United Kingdom, scored higher on “communication openness”, the “frequency of events reported”, and “non‐punitive response to errors”, than nurses from Estonia or Germany. We found statistically significant differences between the countries for the association between five of the 12 dimensions with the overall patient safety grade: overall perception of patient safety, communication openness, staffing, handoffs and transitions and non‐punitive response to errors. Conclusion Patient safety culture, as reported by cancer nurses, varies between European countries and contextual factors, such as recognition of the nursing role and education have an impact on it. Cancer nurses’ role in promoting patient safety is a key concern and requires better recognition on a European and global level. Impact Cancer Nursing Societies in any country can use these data as an indication on how to improve patient care in their country. Recognition of cancer nursing as a distinct specialty in nursing will help to improve patient safety.",pubmed,2025-05-18 15:46:10.231
PMC8517278 ,,,pubmed,2025-05-18 15:46:12.575
PMC6703781 ,,,pubmed,2025-05-18 15:46:14.644
PMC3234432 ,Biodiversity information platforms: From standards to interoperability,"Abstract One of the most serious bottlenecks in the scientific workflows of biodiversity sciences is the need to integrate data from different sources, software applications, and services for analysis, visualisation and publication. For more than a quarter of a century the TDWG Biodiversity Information Standards organisation has a central role in defining and promoting data standards and protocols supporting interoperability between disparate and locally distributed systems.Although often not sufficiently recognized, TDWG standards are the foundation of many popular Biodiversity Informatics applications and infrastructures ranging from small desktop software solutions to large scale international data networks. However, individual scientists and groups of collaborating scientist have difficulties in fully exploiting the potential of standards that are often notoriously complex, lack non-technical documentations, and use different representations and underlying technologies. In the last few years, a series of initiatives such as Scratchpads, the EDIT Platform for Cybertaxonomy, and biowikifarm have started to implement and set up virtual work platforms for biodiversity sciences which shield their users from the complexity of the underlying standards. Apart from being practical work-horses for numerous working processes related to biodiversity sciences, they can be seen as information brokers mediating information between multiple data standards and protocols.The ViBRANT project will further strengthen the flexibility and power of virtual biodiversity working platforms by building software interfaces between them, thus facilitating essential information flows needed for comprehensive data exchange, data indexing, web-publication, and versioning. This work will make an important contribution to the shaping of an international, interoperable, and user-oriented biodiversity information infrastructure.",pubmed,2025-05-18 15:46:16.962
PMC8826231 ,A Comprehensive Overview of the Parathyroid Tumor From the Past Two Decades: Machine Learning-Based Bibliometric Analysis,"Introduction Parathyroid tumor, in particular carcinoma, is fairly rare among neoplasms of the endocrine system, unlike its benign counterpart. However, there is no bibliometric analysis in the field of parathyroid tumors comprehensively summarizing and discussing a large number of publications by a machine learning-based method. Materials and Methods Parathyroid tumor-related publications in PubMed from January 2001 to December 2020 were searched using the MeSH term “parathyroid neoplasms”. Latent Dirichlet allocation was adopted to identify the research topics from the abstract of each publication using Python. Results A total of 3,301 parathyroid tumor-associated publications were identified from the past 20 years, and included in further analyses. Research articles and case reports occupied the most proportion of publications, while the number of clinical studies and clinical trials decreased, especially in recent years. Technetium Tc 99m sestamibi was most studied among the diagnosis-related MeSH terms, while parathyroidectomy was among the treatment-related MeSH terms. The Latent Dirichlet allocation analyses showed that the top topics were 99m Tc-MIBI imaging, parathyroidectomy, gene expression in the cluster of diagnosis research, treatment research, and basic research. Notably, scarce connections were shown between the basic research cluster and the other two clusters, indicating the requirements of translational study turning basic biological knowledge into clinical practice. Conclusion The annual scientific publications on parathyroid tumors have scarcely changed during the last two decades. 99m Tc-MIBI imaging, parathyroidectomy, and gene expression are the most concerned topics in parathyroid tumor research.",pubmed,2025-05-18 15:46:22.731
PMC7717251 ,Surgical treatment of pleural empyema in Coronavirus disease 19 patients: the Southern Switzerland experience,"Abstract We report the first surgical series of patients developing pleural empyema after severe bilateral interstitial lung disease in confirmed severe acute respiratory syndrome coronavirus 2 infection. The empyema results in a complex medical challenge that requires combination of medical therapies, mechanical ventilation and surgery. The chest drainage approach was not successful to relieve the symptomatology and to drain the excess fluid. After multidisciplinary discussion, a surgical approach was recommended. Even though decortication and pleurectomy are high-risk procedures, they must be considered as an option for pleural effusion in Coronavirus disease-positive patients. This is a life-treating condition, which can worsen the coronavirus disease manifestation and should be treated immediately to improve patient’s status and chance of recovery.",pubmed,2025-05-18 15:46:26.582
PMC7348001 ,Corrigendum to ‘Fibroblast growth factor 19 modulates intestinal microbiota and inflammation in presence of farnesoid x receptor’,,pubmed,2025-05-18 15:46:29.059
PMC6646854,Protein kinase C-iota-mediated glycolysis promotes non-small-cell lung cancer progression,"Purpose To determine whether protein kinase C-iota (PKC-iota) is associated with glucose metabolism in non-small-cell lung cancer (NSCLC) and whether its regulatory effect on metabolic and biological changes observed in NSCLC can be mediated by glucose transporter 1 (GLUT1). Patients and methods Forty-five NSCLC patients underwent combined 18 F-fludeoxyglucose ( 18 F-FDG) positron emission tomography and computed tomography (PET/CT) before surgery, and another eighty-one NSCLC patients were followed-up for 1–91 months after tumor resection. The rate of glucose metabolism in NSCLC was quantified by measuring the maximum standardized uptake value (SUVmax) by 18 F-FDG PET/CT. PKC-iota and GLUT1 in NSCLC were detected by immunostaining. In vitro, PKC-iota was knocked down, whereas GLUT1 was silenced with or without PKC-iota overexpression to identify the role of PKC-iota in glycolysis. Spearman’s rank correlation coefficient was used in the correlation analysis. Kaplan-Meier analysis was used to assess survival duration. Results There was a positive relationship between PKC-iota expression and SUVmax in NSCLC (r=0.649, P <0.001). PKC-iota expression also showed a positive relationship with GLUT1 in NSCLC tissues (r=0.686, P <0.001). Patients whose NSCLC tissues highly co-expressed PKC-iota and GLUT1 had worse prognosis compared with patients without high co-expression of PKC-iota and GLUT1. In vitro, PKC-iota silencing significantly decreased the expression of GLUT1 and inhibited glucose uptake and glycolysis; c-Myc silencing restrained PKC-iota-mediated GLUT1 elevation; GLUT1 knockdown remarkably suppressed PKC-iota-mediated glycolysis and cell growth. Conclusion In NSCLC, the rate of glucose metabolism was positively correlated with PKC-iota expression. PKC-iota increased glucose accumulation and glycolysis by upregulating c-Myc/GLUT1 signaling and is thus involved in tumor progression.",pubmed,2025-05-18 15:46:35.155
